Fischer-Tropsch reaction kinetics of cobalt catalyst in supercritical phase,12,2007,http://www.sciencedirect.com/science/article/pii/S100399530760036X
Natural History of Ovarian Cancer Metastasis: An Integrated Approach,0,2011,http://www.qscience.com/doi/abs/10.5339/qfarf.2011.bmo1
Constituents of Plants Growing in Qatar .14. Sesquiterpene Lactones from Pulicaria-Sicula,0,1988,None
Mutations in a zinc finger protein causing a novel autosomal recessive mental retardation syndrome identified through homozygosity mapping and whole exome sequencing of a single affected individual,0,2012,http://www.qscience.com/doi/abs/10.5339/qfarf.2012.BMO9
Specific-Heat of Pure and Doped LIRBSO4 Crystals,0,2011,None
Pseudo-Bartter's syndrome in an Egyptian infant with cystic fibrosis mutation N1303K,6,2004,http://europepmc.org/abstract/MED/15357568
Extreme cardiac and pulmonary artery compression causing positional oxygen desaturation,0,2011,None
Registration efficiency of some SSNTDs with source area included,9,1999,http://www.sciencedirect.com/science/article/pii/S0168583X99004851
When in a Drug Epidemic Should the Policy Objective Switch from Use Reduction to Harm Reduction,8,2010,http://www.sciencedirect.com/science/article/pii/S0377221709001428
Evaluating Alternative Aluminum Sources for Chloride Removal from Recycled Cooling Water,0,2005,http://www.ingentaconnect.com/content/wef/wefproc/2005/00002005/00000007/art00044
